"","state","q2","q73","smok1","pvote16a","partyln","trump_support","support_for_div","non_south_democrat"
"1312","TX","Disapprove","A better place to live","No","Voted","(VOL) Other/Don't know/Refused",0,1,0
"1318","TX","Disapprove","A better place to live","No","(VOL) Refused","(VOL) Other/Don't know/Refused",0,1,0
"1319","AL","(VOL) Don't know/Refused","Doesn't make much difference either way","Yes","Voted","(VOL) Other/Don't know/Refused",0,0,0
"1321","TX","Disapprove","A worse place to live","No","(VOL) Refused","(VOL) Other/Don't know/Refused",0,0,0
"1322","OK","Disapprove","A better place to live","Yes","Did not vote (includes too young to vote)","Democrat",0,1,1
"1325","TN","Approve","A better place to live","No","Voted","(VOL) Other/Don't know/Refused",1,1,0
"1326","TX","Approve","A better place to live","Yes","Did not vote (includes too young to vote)","(VOL) Other/Don't know/Refused",1,1,0
"1328","TX","(VOL) Don't know/Refused","Doesn't make much difference either way","No","Voted","(VOL) Other/Don't know/Refused",0,0,0
"1329","LA","Approve","Doesn't make much difference either way","Yes","Voted","(VOL) Other/Don't know/Refused",1,0,0
"1330","TX","Approve","A better place to live","No","Voted","(VOL) Other/Don't know/Refused",1,1,0
"1333","TX","Approve","A better place to live","Yes","Voted","(VOL) Other/Don't know/Refused",1,1,0
"1342","TX","Approve","Doesn't make much difference either way","No","Voted","(VOL) Other/Don't know/Refused",1,0,0
"1345","TX","Approve","Doesn't make much difference either way","(VOL) Don't know/Refused","(VOL) Refused","(VOL) Other/Don't know/Refused",1,0,0
"1346","KY","Approve","Doesn't make much difference either way","No","Did not vote (includes too young to vote)","(VOL) Other/Don't know/Refused",1,0,0
"1347","OK","Disapprove","A better place to live","Yes","(VOL) Refused","(VOL) Other/Don't know/Refused",0,1,0
"1354","OK","Disapprove","Doesn't make much difference either way","No","Voted","(VOL) Other/Don't know/Refused",0,0,0
"1361","TN","Disapprove","A better place to live","No","(VOL) Refused","Democrat",0,1,1
"1362","TX","Approve","Doesn't make much difference either way","Yes","Voted","(VOL) Other/Don't know/Refused",1,0,0
"1363","LA","Disapprove","A better place to live","No","Did not vote (includes too young to vote)","(VOL) Other/Don't know/Refused",0,1,0
"1369","AL","Disapprove","A better place to live","Yes","Voted","(VOL) Other/Don't know/Refused",0,1,0
"1372","OK","Approve","Doesn't make much difference either way","No","Voted","(VOL) Other/Don't know/Refused",1,0,0
"1373","AR","Disapprove","A better place to live","No","Voted","(VOL) Other/Don't know/Refused",0,1,0
"1374","TX","(VOL) Don't know/Refused","(VOL) Don't know/Refused","No","(VOL) Refused","(VOL) Other/Don't know/Refused",0,0,0
"1376","TX","Disapprove","A better place to live","Yes","(VOL) Refused","Democrat",0,1,1
"1378","TX","Disapprove","A worse place to live","No","(VOL) Refused","(VOL) Other/Don't know/Refused",0,0,0
"1379","TX","Approve","A better place to live","Yes","(VOL) Refused","Republican",1,1,0
"1380","TX","Approve","Doesn't make much difference either way","No","Voted","(VOL) Other/Don't know/Refused",1,0,0
"1381","OK","Approve","A better place to live","No","Voted","(VOL) Other/Don't know/Refused",1,1,0
"1385","OK","Disapprove","A better place to live","Yes","Voted","Republican",0,1,0
"1391","TX","Approve","Doesn't make much difference either way","No","Voted","(VOL) Other/Don't know/Refused",1,0,0
"1401","TN","Disapprove","A better place to live","Yes","Voted","(VOL) Other/Don't know/Refused",0,1,0
"1405","TX","Approve","Doesn't make much difference either way","No","(VOL) Refused","Democrat",1,0,1
"1407","OK","Disapprove","A better place to live","No","Did not vote (includes too young to vote)","(VOL) Other/Don't know/Refused",0,1,0
"1410","TX","Disapprove","A better place to live","No","Voted","Democrat",0,1,1
"1413","KY","Approve","Doesn't make much difference either way","No","Voted","(VOL) Other/Don't know/Refused",1,0,0
"1429","TX","Disapprove","A better place to live","No","Did not vote (includes too young to vote)","(VOL) Other/Don't know/Refused",0,1,0
"1430","TX","Disapprove","A better place to live","Yes","Voted","Democrat",0,1,1
"1431","TX","Approve","A better place to live","Yes","Did not vote (includes too young to vote)","Republican",1,1,0
"1440","OK","Disapprove","Doesn't make much difference either way","No","(VOL) Refused","(VOL) Other/Don't know/Refused",0,0,0
"1462","LA","Disapprove","A better place to live","No","(VOL) Refused","(VOL) Other/Don't know/Refused",0,1,0
"1463","LA","Disapprove","A worse place to live","No","Voted","(VOL) Other/Don't know/Refused",0,0,0
"1464","LA","Approve","A worse place to live","No","Voted","(VOL) Other/Don't know/Refused",1,0,0
"1465","AR","(VOL) Don't know/Refused","A better place to live","Yes","(VOL) Refused","(VOL) Other/Don't know/Refused",0,1,0
"1468","MS","Approve","A worse place to live","Yes","Voted","(VOL) Other/Don't know/Refused",1,0,0
"1469","TX","Disapprove","A better place to live","Yes","Voted","(VOL) Other/Don't know/Refused",0,1,0
"1470","AL","(VOL) Don't know/Refused","Doesn't make much difference either way","No","Voted","(VOL) Other/Don't know/Refused",0,0,0
"1471","TX","Disapprove","A better place to live","No","(VOL) Refused","Republican",0,1,0
"1473","TN","Disapprove","Doesn't make much difference either way","Yes","Voted","Democrat",0,0,1
"1474","LA","Approve","A better place to live","Yes","Voted","(VOL) Other/Don't know/Refused",1,1,0
"1475","OK","Disapprove","Doesn't make much difference either way","Yes","(VOL) Refused","Democrat",0,0,1
"1477","AL","Approve","Doesn't make much difference either way","Yes","Voted","(VOL) Other/Don't know/Refused",1,0,0
"1478","TX","Approve","A better place to live","No","Voted","(VOL) Other/Don't know/Refused",1,1,0
"1479","AL","Approve","A worse place to live","Yes","Voted","(VOL) Other/Don't know/Refused",1,0,0
